,Index,m/z,I,normalised_intensity
426,427,8564.62207,89167704,0.47683995128609463
434,435,8661.60527,10024730,0.05166544785919279
442,443,8774.61021,186549936,0.9999999999999999
455,456,8792.62576,85038176,0.4546551643359923
462,463,8811.59594,18592716,0.09769466572657602
469,470,8828.58489,17365306,0.09110073311480416
475,476,8871.5643,21293656,0.11220474495718286
483,484,8889.59348,14490540,0.07565682009583495
491,492,9001.6109,182734624,0.9795032546411675
500,501,9018.62575,26746588,0.14149916666188986
507,508,9035.5928,39428764,0.2096307721683063
510,511,9038.57719,60937072,0.3251784160242582
517,518,9054.61997,18442266,0.09688641325882598
522,523,9095.47734,14119440,0.0736631843977157
525,526,9098.60512,27598150,0.14607395621285138
